Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
4131.3,14131.3,1.9360532066915765,4.3,1.3356253783324266,5.743189126829434,-5.293346856779903,1.0424549613774265,-0.29826156605464826,41269,233.89999999999964,2,-44.403797399657776
4365.2,14365.2,1.6016882104806427,1.6,8.635166050795423,13.816265681272679,-16.72620853317365,1.5480719999023755,0.9734993212170986,43608,199.90000000000055,2,-44.403797399657776
4565.1,14565.1,1.3867440314155828,1.4,24.955623667783392,34.93787313489675,-33.87615363674998,1.395924816362898,0.0973627848685617,45608,57.69999999999982,2,-44.403797399657776
4622.8,14622.8,3.3040830722660757,1.7,9.567390899228624,16.26456452868866,-16.94565417710896,2.569759925992599,0.07312326839443956,46185,54.899999999999636,2,-44.403797399657776
4677.7,14677.7,3.197314010244736,1.7,2.7240299401492645,4.630850898253749,-5.289026730967087,5.602223641083331,0.9943974138752367,46733,151.5,2,-44.403797399657776
4829.2,14829.2,0.8711852819011255,1.2,14.971898075788157,17.966277690945788,-18.300070821001317,1.2863976723117303,0.4918740660931311,48248,312.0,2,-44.403797399657776
5141.2,15141.2,4.069448885651946,1.6,14.26499978511603,22.82399965618565,-24.992390557829825,3.1030816524533744,0.15955229694029902,51370,175.19999999999982,2,-44.403797399657776
5316.4,15316.4,2.5973850703398056,2.6,1.5789962410047635,4.105390226612386,-6.670298823158649,4.473077981469672,1.1278912312886589,53113,48.30000000000018,2,-44.403797399657776
5364.7,15364.7,3.3249795848023496,1.5,6.806106777478665,10.209160166217998,-8.26029370031346,1.2617860812521517,-1.998420481567506,53605,16.199999999999818,2,-44.403797399657776
5380.9,15380.9,4.6481436825764835,4.3,1.5772043357189627,6.78197864359154,-8.813369477689607,3.7330381429039514,-0.12206223050573146,53766,121.60000000000036,2,-44.403797399657776
5502.5,15502.5,4.834008359085419,2.3,1.9410388875618207,4.464389441392187,-5.236549693825019,5.671940452934626,0.8886202518758904,54977,146.0,2,-44.403797399657776
5648.5,15648.5,3.271197642134939,1.7,13.75950403354756,23.39115685703085,-24.86898279086487,3.2934845732249713,1.2186291634085458,56442,115.0,2,-44.403797399657776
5763.5,15763.5,1.0148588042400661,1.7,2.720996060265836,4.6256933024519205,-4.662600045758697,1.6995156588519789,0.5476069476174958,57590,200.80000000000018,2,-44.403797399657776
5964.3,15964.3,4.1883353595199875,1.5,10.799149604605853,16.19872440690878,-16.272717364038964,2.726022886538212,0.7149558518413489,59601,170.0,2,-44.403797399657776
6134.3,16134.3,2.6032913449387705,1.5,18.916420717217196,28.374631075825796,-27.980897808367047,2.7959902743174117,-0.02887225403229263,61300,46.399999999999636,2,-44.403797399657776
6180.7,16180.7,5.077708389415784,1.9,3.810282202317747,7.239536184403719,-9.394227372772516,5.861422084888104,0.9597284587802233,61766,63.0,2,-44.403797399657776
6243.7,16243.7,4.019498286512681,1.7,21.124409838871227,35.91149672608108,-32.516418972029555,3.299888677623422,0.8978433002997962,62394,29.5,2,-44.403797399657776
6273.2,16273.2,5.411599657285114,2.6,4.776688280829392,12.419389530156419,-12.721387748108343,4.82436397402991,0.6760649372567595,62682,86.80000000000018,2,-44.403797399657776
6360.0,16360.0,7.864070873541641,1.7,8.09062564212222,13.754063591607773,-9.905543555609011,2.1528069434828883,-3.415622455670464,63558,20.800000000000182,2,-44.403797399657776
6380.8,16380.8,4.546691372343048,1.7,7.432509644045925,12.635266394878071,-7.101520635254344,1.0962950717581839,-6.8014205792679165,63765,21.199999999999818,2,-44.403797399657776
6402.0,16402.0,2.9038429862725024,1.5,39.65836470787101,59.48754706180652,-54.37549748214592,2.2677280213244315,0.6460740722382218,63977,255.89999999999964,2,-44.403797399657776
6657.9,16657.9,2.513259736915643,1.5,14.912539767188685,22.368809650783028,-23.03690569817283,1.693660917721283,-0.7343233803833601,66537,17.200000000000728,2,-44.403797399657776
6675.1,16675.1,2.6416682404102176,1.4,9.258187911507985,12.961463076111178,-9.900869612390888,2.307787531370497,0.37592756712564146,66708,76.79999999999927,2,-44.403797399657776
6751.9,16751.9,5.655235224196804,2.0,3.2616872295902963,6.523374459180593,-5.671165349271732,4.602163799972453,1.1358700478353592,67477,71.30000000000018,2,-44.403797399657776
6823.2,16823.2,2.7415155479262467,1.6,6.752117392288357,10.803387827661371,-9.33312425363942,2.776044264885938,0.28669757212539626,68189,106.80000000000018,2,-44.403797399657776
6930.0,16930.0,5.189906160294777,1.9,9.578125203546197,18.19843788673777,-21.62581771255611,4.715107948685164,1.2785548821530572,69257,599.6000000000004,2,-44.403797399657776
7529.6,17529.6,5.53337891035917,1.4,5.81580989106634,8.142133847492875,-6.954008383448017,4.70250880621381,0.30446102817622617,75254,46.399999999999636,2,-44.403797399657776
